Epoch,Animal amount,Grass amount,Average energy,Average life span,Average children amount
0,6,0,100.0,0.0,0.0
1,6,2,97.0,0.0,0.0
2,6,4,94.0,0.0,0.0
3,6,6,91.0,0.0,0.0
4,6,8,88.0,0.0,0.0
5,6,10,85.0,0.0,0.0
6,6,12,82.0,0.0,0.0
7,6,14,79.0,0.0,0.0
8,6,16,76.0,0.0,0.0
9,6,18,73.0,0.0,0.0
10,6,20,70.0,0.0,0.0
11,6,22,67.0,0.0,0.0
12,6,24,64.0,0.0,0.0
13,6,26,61.0,0.0,0.0
14,6,28,58.0,0.0,0.0
15,6,30,55.0,0.0,0.0
16,6,32,52.0,0.0,0.0
17,6,34,49.0,0.0,0.0
18,6,36,46.0,0.0,0.0
19,6,38,43.0,0.0,0.0
20,6,40,40.0,0.0,0.0
21,6,42,37.0,0.0,0.0
22,6,44,34.0,0.0,0.0
23,6,46,31.0,0.0,0.0
24,6,48,28.0,0.0,0.0
25,6,50,25.0,0.0,0.0
26,6,52,22.0,0.0,0.0
27,6,54,19.0,0.0,0.0
28,6,56,16.0,0.0,0.0
29,6,58,13.0,0.0,0.0
30,6,60,10.0,0.0,0.0
31,6,62,7.0,0.0,0.0
32,6,64,4.0,0.0,0.0
33,6,66,1.0,0.0,0.0
34,6,68,-2.0,0.0,0.0
On average,6.0,34.0,49.0,0.0,0.0
