Epoch,Animal amount,Grass amount,Average energy,Average life span,Average children amount
0,31,2,93.47983870967742,0.0,0.06451612903225806
1,33,4,84.44483901515152,0.0,0.18181818181818182
2,36,6,74.10201009114583,0.0,0.3333333333333333
3,39,8,65.3975102351262,0.0,0.46153846153846156
4,42,9,60.204470725286576,0.0,0.5714285714285714
5,45,11,53.13830570644802,1.5,0.7333333333333333
6,45,13,50.17053206231859,2.1666666666666665,0.8
7,48,15,43.82709059212357,2.888888888888889,0.8541666666666666
8,50,16,41.29969727599993,2.6666666666666665,0.96
9,52,18,36.9891336378675,3.0625,1.0384615384615385
10,47,19,40.46340026954273,3.2,1.0425531914893618
11,48,20,39.05803333539029,3.5357142857142856,1.0416666666666667
On average,43.0,11.75,56.881238471339856,1.5850363756613755,0.6735680061473645
